num_contours,avg_area,std_area,std_4nn,circle_similarity,avg_perimeter,std_perimeter,avg_compactness,std_compactness,avg_eccentricity,std_eccentricity,avg_solidity,std_solidity,avg_curvature,std_curvature,fft_2,fft_3,fft_4,fft_5,fft_6,fft_7,fft_8,fft_9,fft_10,offset_x_mean,offset_y_mean,offset_x_std,offset_y_std,var_radii,var_angle_gaps,centroid_hull_area,centroid_hull_perimeter,quad_1,quad_2,quad_3,quad_4,mean_1nn,avg_degree,avg_clustering,area_ratio,bbox_aspect,std_aspect,sym_horiz,sym_vert,fractal_dim,template_match_score,occupancy_error,assignment_cost,avg_diameter,std_diameter,avg_pairwise_diff,child_id,label
10,1520.55,1257.279135,33.29419361,0.163464942,318.1970898,186.3633144,0.319330707,0.307436662,0.748160748,0.084551268,0.535021286,0.378413654,2.725522494,0.438397073,0.87859344,0.6964515,0.20262289,0.1556121,0.10218461,0.09251742,0.05964004,0.044904537,0.03462825,19.36035421,12.44026474,104.2903098,63.56243044,1648.729805,0.079106716,40201.57817,806.3686686,2,2,3,3,68.63392271,3.6,0.4,0.171673892,1.487704912,0.183419585,0.183881971,0.14261229,-2.212205259,0.04900071,0.666666667,11.0505971,70.60376126,30.34153746,5.291249752,7510,2
18,1180.916667,2035.529219,22.83016307,0.163063628,313.5835109,265.0384592,0.283479088,0.36059927,0.68211202,0.205555385,0.428514903,0.403233977,2.72660683,0.434901432,1.0112243,0.52696884,0.20654489,0.16605227,0.16088013,0.09297831,0.07805002,0.06334011,0.06017305,-9.860372654,-19.28331074,105.4766369,58.32142789,1464.855344,0.128999392,44868.46852,855.4708882,6,5,4,3,47.25771513,4.555555556,0.267973856,0.227851561,1.412451356,0.133448618,0.231867536,0.352838739,-1.914745609,0.0746789,0.428571429,3.050624993,61.27122936,36.1309779,4.196166039,7511,4
25,16.42,9.178975978,23.74111412,0.313188976,19.03224519,7.455203281,0.569483169,0.1210573,0.364151528,0.164789161,0.896552799,0.084375387,2.573180356,0.575493855,0.16800867,0.10593243,0.10068331,0.08232661,0.07065236,0.06678615,0.052214712,0.055751268,0.04982513,-28.82707085,-12.06909755,119.9738486,62.71191674,1705.56485,0.053694074,55007.89605,914.9668944,9,7,7,2,33.94937855,4.56,0.19,0.005449573,1.69194312,0.691426958,0.045352514,0.011368299,-1.187683027,0.014953752,0.238095238,4.062517268,7.784428141,3.268436709,0.082874998,7512,1
77,13.29220779,8.112180456,11.61771222,0.261811927,16.90261883,7.965659254,0.616219427,0.16955147,0.538639479,0.193262584,0.870644202,0.131681907,2.505965387,0.586946021,0.42720938,0.26218072,0.2056989,0.19268182,0.17396556,0.14869812,0.14436454,0.12871665,0.11380998,-33.42134779,1.172293551,85.86343854,58.09121146,1726.985106,0.006275512,56424.52477,938.7470717,23,17,27,10,21.73548171,5.61038961,0.073820916,0.012435,1.583333326,0.465001233,0.032892389,0.01478176,-1.646390875,0.003390683,0,56.02494874,6.569721724,3.157313193,0.069297075,7513,1
23,222.6304348,142.4291752,13.67261025,0.199610295,190.5587944,74.68543463,0.178202817,0.24942581,0.675584511,0.152081946,0.348642081,0.307483487,2.704850033,0.445371041,1.1736468,0.56837624,0.28640825,0.18107283,0.12567657,0.08073941,0.11254187,0.084444344,0.0553925,-11.01278019,1.817630189,90.00365584,49.65997845,1783.766693,0.038384163,37337.51864,793.9286399,7,4,6,6,41.56535987,4.782608696,0.217391304,0.070179406,1.80597014,0.253384624,0.084578054,0.125917772,-1.85823414,0.032225057,0.285714286,2.058314338,40.97509277,12.13145527,0.974820614,7514,2
7,2208.142857,1652.608495,33.9280589,0.197073834,491.5843908,200.5847645,0.278449369,0.345395785,0.661039267,0.143394147,0.468410591,0.369020718,2.744259873,0.406607082,0.7241055,0.56504875,0.18934461,0.12418723,0.063010894,0.043393753,0.02933546,0.029240472,0.020483313,11.39150119,-25.42438495,85.71168592,51.97958673,1108.968152,0.122510727,24786.20396,659.6246547,2,2,2,1,82.42150389,3.714285714,0.619047619,0.197135496,1.680555548,0.134949161,0.274975237,0.011989642,-1.8311451,0.070863985,0.666666667,14.04391069,101.6830121,29.44718118,7.719669342,7517,2
5,125.8,75.40596793,69.71038004,0.314116548,341.9565912,203.9570593,0.024962966,0.025496343,0.484848169,0.258974198,0.139979539,0.208010226,2.716062247,0.447973528,0.42948598,0.12141486,0.0719661,0.056548893,0.029451465,0.031266578,0.012496294,0.01895826,0.006133022,54.84069726,-11.79675405,106.5116794,48.98644342,1588.908944,0.526324714,22484.77959,669.4475447,1,2,1,1,100.7300826,2.8,0.7,0.009024908,1.89062499,0.56456152,-0.005589432,0.007778817,-1.29248125,0.001542864,0.761904762,16.04360128,96.40324654,55.49787435,0.865724921,7520,1
6,326.25,298.0244327,40.37615869,0.342599828,350.7991915,319.4982277,0.193551924,0.317815354,0.785272128,0.09096605,0.268148556,0.336275806,2.754903964,0.408909217,0.39052883,0.09541801,0.10774023,0.049639177,0.0686351,0.056517094,0.090950154,0.05747788,0.056387395,-13.67689761,-32.44428307,40.11941766,38.56186536,774.3758604,1.267800461,6481.596841,350.6671373,1,4,1,0,38.94136775,3.333333333,0.666666667,0.02979316,2.005524851,1.239700096,0.145796752,0.000776739,-1.588502901,0.04906136,0.761904762,15.04299806,136.7338505,129.3587548,1.529468775,7522,1
65,13.19230769,11.1278211,15.11149783,0.348686005,21.18049381,14.71449191,0.456293272,0.205896021,0.362036311,0.246279809,0.793683529,0.171371187,2.568504414,0.596719562,0.27162817,0.3713778,0.1582468,0.1614612,0.14342146,0.16996913,0.12975267,0.108739726,0.10898978,0.218881395,6.777305768,59.94108806,77.4881143,1674.780265,0.006348333,61682.11617,942.7546226,14,17,18,16,20.56954716,5.630769231,0.087980769,0.008684776,0.749311293,0.893773751,0.037525827,0.00603383,-1.349029181,-0.003202421,0.333333333,44.05267651,8.692492624,6.125152655,0.075470194,7523,1
30,62.15,35.90941149,16.05570658,0.413765126,66.54954976,35.23493753,0.229064453,0.122973581,0.288955032,0.160705283,0.564785671,0.200162075,2.674365352,0.472376103,0.6183872,0.18330958,0.123599954,0.06511528,0.046580024,0.04035058,0.030099344,0.02508483,0.020452332,12.3616017,-16.31138669,92.51339598,45.6677845,2023.193649,0.190749758,34748.86548,837.8001094,10,12,0,8,25.71147744,5.266666667,0.181609195,0.024247981,1.694835673,0.995632148,0.052120557,0.06093121,-1.341139023,0.026028784,0.476190476,9.063413646,24.56703547,10.8854996,0.294524997,7530,1
